108/CTC-01,CT0108:U_O
201/CTC-02,CT0201:U_O
202/CTC-02,CT0202:U_O
204/CTC-02,CT0204:U_O
211/CTC-02,CT0211:L_M
2X/CTC-01,CT2X:U_O
3X/CTC-01,CT3X:U_O
4X/CTC-01,CT4X:U_O
5X/CTC-01,CT5X:L_M
7X/CTC-01,CT7X:U_O
11P-Б/ThTC-1,TT11PB:L_M
12H/ThTC-1,TT12H:L_M
1X-Б/ThTC-1,TT1XB:L_M
1X-Б/ThTC-1,TT1XB:U_O
20P/ThTC-2,TT20P:L_M
23P/ThTC-2,TT23P:L_M
24P/ThTC-2,TT24P:U_O
25P/ThTC-2,TT25P:U_O
26P/ThTC-2,TT26P:U_O
28P/ThTC-2,TT28P:L_M
2X/ThTC-1,TT2X:U_O
33P/ThTC-3,TT33P:U_O
34P/ThTC-2,TT34P:L_M
35XP/ThTC-2,TT35XP:U_O
36P/ThTC-3,TT36P:L_M
37P/ThTC-3,TT37P:L_M
37P/ThTC-3,TT37P:U_O
3XББ/ThTC-1,TT3XBB:L_M
41P/ThTC-3,TT41P:U_O
4XPБ/ThTC-1,TT4XPB:L_M
5P/ThTC-1,TT5P:U_O
5X/ThTC-2,TT5X:L_M
5X/ThTC-2,TT5X:U_O
6H/ThTC-1,TT6H:U_O
6P/ThTC-1,TT6P:L_M
6P/ThTC-1,TT6P:U_O
6X/ThTC-2,TT6X:U_O
7H-Б/ThTC-1,TT7HB:L_M
7X/ThTC-3,TT7X:U_O
8P/ThTC-1,TT8P:U_O
8X/ThTC-3,TT8X:U_O
9H/ThTC-1,TT9H:U_O
9P/ThTC-1,TT9P:U_O
66/RC-8,0066:BAS
24/RC-8,0024:BAS
721/МСП-7,0721:L_M_C
